im_path,im_size,im_net_mask,joints
00036.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 525, 147], [1, 560, 147], [2, 594, 132]]]]"
00037.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 474, 165], [1, 504, 163], [2, 546, 155]]]]"
00038.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 437, 210], [1, 465, 183], [2, 496, 159]]]]"
00039.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 428, 259], [1, 435, 221], [2, 443, 186]]]]"
00040.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 442, 290], [1, 423, 268], [2, 408, 237]]]]"
00041.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 463, 312], [1, 432, 312], [2, 411, 282]]]]"
00042.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 491, 325], [1, 465, 341], [2, 436, 319]]]]"
00043.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 527, 313], [1, 511, 339], [2, 472, 338]]]]"
00044.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 546, 286], [1, 542, 314], [2, 515, 339]]]]"
00045.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 546, 248], [1, 552, 278], [2, 547, 315]]]]"
00046.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 524, 220], [1, 546, 243], [2, 565, 277]]]]"
00047.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 492, 214], [1, 520, 221], [2, 558, 229]]]]"
00048.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 458, 228], [1, 488, 208], [2, 523, 197]]]]"
00049.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 437, 247], [1, 448, 216], [2, 477, 199]]]]"
00050.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 424, 276], [1, 414, 252], [2, 433, 224]]]]"
00051.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 427, 311], [1, 404, 289], [2, 410, 261]]]]"
00052.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 450, 339], [1, 424, 332], [2, 406, 300]]]]"
00053.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 485, 349], [1, 458, 353], [2, 423, 339]]]]"
00054.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 515, 334], [1, 488, 350], [2, 461, 362]]]]"
00055.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 526, 304], [1, 514, 333], [2, 496, 367]]]]"
00056.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 521, 273], [1, 530, 304], [2, 534, 340]]]]"
00057.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 508, 236], [1, 525, 258], [2, 539, 292]]]]"
00058.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 500, 193], [1, 515, 216], [2, 527, 250]]]]"
00059.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 496, 143], [1, 505, 173], [2, 504, 212]]]]"
00060.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 503, 90], [1, 497, 130], [2, 492, 164]]]]"
00061.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 515, 47], [1, 499, 81], [2, 497, 113]]]]"
00062.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 537, 14], [1, 516, 36], [2, 516, 70]]]]"
00063.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 557, 22], [1, 528, 38], [2, 515, 67]]]]"
00064.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 581, 19], [1, 556, 31], [2, 535, 52]]]]"
00065.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 623, 13], [1, 595, 21], [2, 565, 33]]]]"
00066.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 649, 13], [1, 621, 23], [2, 590, 22]]]]"
00073.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 520, 189], [1, 546, 178], [2, 579, 153]]]]"
00074.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 477, 206], [1, 507, 195], [2, 540, 185]]]]"
00075.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 431, 216], [1, 462, 210], [2, 495, 198]]]]"
00076.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 375, 220], [1, 412, 220], [2, 450, 209]]]]"
00077.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 323, 213], [1, 355, 226], [2, 395, 217]]]]"
00078.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 267, 203], [1, 296, 214], [2, 334, 219]]]]"
00079.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 211, 199], [1, 243, 207], [2, 284, 212]]]]"
00080.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 157, 197], [1, 191, 200], [2, 225, 207]]]]"
00081.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 105, 196], [1, 132, 192], [2, 165, 202]]]]"
00082.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 50, 186], [1, 78, 182], [2, 109, 187]]]]"
00083.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 32, 172], [1, 60, 174], [2, 88, 182]]]]"
00084.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 31, 155], [1, 52, 170], [2, 76, 177]]]]"
00085.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 31, 132], [1, 45, 156], [2, 69, 176]]]]"
00086.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 34, 109], [1, 39, 136], [2, 58, 158]]]]"
00087.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 31, 74], [1, 38, 96], [2, 41, 126]]]]"
00088.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 27, 34], [1, 36, 64], [2, 38, 89]]]]"
00090.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 31, 25], [1, 46, 49], [2, 54, 74]]]]"
00091.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 31, 24], [1, 42, 43], [2, 61, 66]]]]"
00097.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 151, 93], [1, 140, 116], [2, 115, 144]]]]"
00098.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 160, 67], [1, 158, 98], [2, 152, 132]]]]"
00099.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 158, 40], [1, 175, 68], [2, 189, 93]]]]"
00100.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 140, 20], [1, 168, 26], [2, 192, 40]]]]"
00101.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 127, 19], [1, 153, 11], [2, 179, 20]]]]"
00102.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 119, 26], [1, 141, 13], [2, 172, 17]]]]"
00103.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 115, 37], [1, 131, 19], [2, 160, 16]]]]"
00104.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 103, 53], [1, 119, 32], [2, 150, 20]]]]"
00105.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 95, 77], [1, 108, 49], [2, 128, 26]]]]"
00106.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 95, 106], [1, 92, 77], [2, 100, 46]]]]"
00107.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 108, 133], [1, 93, 112], [2, 81, 80]]]]"
00108.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 138, 147], [1, 111, 140], [2, 80, 127]]]]"
00109.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 169, 144], [1, 146, 153], [2, 109, 160]]]]"
00110.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 197, 132], [1, 185, 155], [2, 150, 163]]]]"
00111.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 225, 105], [1, 216, 139], [2, 190, 151]]]]"
00112.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 232, 61], [1, 241, 95], [2, 229, 127]]]]"
00113.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 224, 28], [1, 246, 50], [2, 252, 78]]]]"
00114.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 201, 15], [1, 233, 25], [2, 259, 38]]]]"
00115.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 176, 18], [1, 202, 17], [2, 229, 11]]]]"
00116.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 146, 16], [1, 177, 16], [2, 207, 9]]]]"
00117.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 119, 15], [1, 146, 15], [2, 173, 5]]]]"
00118.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 104, 22], [1, 131, 11], [2, 161, 12]]]]"
00119.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 84, 19], [1, 106, 16], [2, 134, 18]]]]"
00126.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 33, 251], [1, 40, 224], [2, 55, 193]]]]"
00127.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 34, 272], [1, 40, 246], [2, 50, 220]]]]"
00128.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 27, 298], [1, 37, 271], [2, 52, 244]]]]"
00129.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 29, 331], [1, 34, 307], [2, 40, 277]]]]"
00130.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 33, 365], [1, 42, 339], [2, 43, 313]]]]"
00131.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 32, 401], [1, 39, 374], [2, 34, 347]]]]"
00132.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 38, 435], [1, 43, 409], [2, 33, 382]]]]"
00133.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 34, 448], [1, 41, 420], [2, 39, 394]]]]"
00134.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 42, 451], [1, 46, 424], [2, 38, 393]]]]"
00135.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 39, 450], [1, 45, 427], [2, 46, 399]]]]"
00140.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 178, 391], [1, 149, 393], [2, 116, 405]]]]"
00141.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 221, 384], [1, 188, 383], [2, 155, 396]]]]"
00142.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 271, 378], [1, 242, 374], [2, 205, 384]]]]"
00143.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 326, 370], [1, 296, 370], [2, 254, 374]]]]"
00144.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 375, 359], [1, 350, 363], [2, 307, 363]]]]"
00145.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 427, 346], [1, 402, 358], [2, 361, 355]]]]"
00146.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 482, 335], [1, 455, 347], [2, 411, 351]]]]"
00147.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 538, 330], [1, 504, 337], [2, 458, 346]]]]"
00148.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 585, 325], [1, 554, 328], [2, 518, 341]]]]"
00149.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 638, 329], [1, 608, 326], [2, 571, 337]]]]"
00150.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 691, 328], [1, 658, 327], [2, 623, 329]]]]"
00151.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 700, 319], [1, 677, 324], [2, 642, 333]]]]"
00152.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 700, 305], [1, 684, 326], [2, 646, 342]]]]"
00153.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 698, 283], [1, 688, 312], [2, 660, 337]]]]"
00154.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 698, 265], [1, 700, 294], [2, 677, 321]]]]"
00155.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 688, 236], [1, 706, 259], [2, 697, 293]]]]"
00156.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 678, 209], [1, 700, 231], [2, 702, 264]]]]"
00157.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 663, 193], [1, 684, 210], [2, 699, 240]]]]"
00158.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 644, 184], [1, 669, 198], [2, 694, 213]]]]"
00159.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 617, 193], [1, 646, 189], [2, 677, 187]]]]"
00160.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 591, 216], [1, 614, 193], [2, 637, 172]]]]"
00161.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 579, 243], [1, 582, 217], [2, 597, 188]]]]"
00162.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 577, 274], [1, 565, 255], [2, 568, 228]]]]"
00163.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 592, 309], [1, 566, 296], [2, 562, 263]]]]"
00164.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 620, 331], [1, 589, 330], [2, 568, 305]]]]"
00165.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 655, 329], [1, 631, 339], [2, 596, 339]]]]"
00166.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 677, 308], [1, 658, 332], [2, 634, 351]]]]"
00167.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 681, 282], [1, 677, 309], [2, 673, 339]]]]"
00168.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 671, 257], [1, 685, 280], [2, 697, 312]]]]"
00169.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 650, 243], [1, 677, 248], [2, 700, 267]]]]"
00170.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 627, 241], [1, 648, 230], [2, 680, 238]]]]"
00171.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 595, 256], [1, 610, 236], [2, 650, 233]]]]"
00172.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 570, 288], [1, 578, 258], [2, 610, 239]]]]"
00173.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 565, 329], [1, 561, 299], [2, 577, 270]]]]"
00179.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 481, 461], [1, 508, 444], [2, 540, 430]], [[0, 158, 356], [1, 145, 381], [2, 131, 418]]]]"
00180.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 442, 466], [1, 470, 461], [2, 510, 451]], [[0, 156, 352], [1, 141, 378], [2, 123, 419]]]]"
00181.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 411, 450], [1, 438, 459], [2, 476, 460]], [[0, 148, 350], [1, 135, 379], [2, 119, 416]]]]"
00182.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 144, 344], [1, 131, 374], [2, 113, 416]], [[0, 372, 434], [1, 393, 455], [2, 431, 463]]]]"
00183.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 323, 422], [1, 347, 446], [2, 387, 448]], [[0, 138, 344], [1, 126, 370], [2, 111, 408]]]]"
00184.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 269, 404], [1, 302, 432], [2, 335, 439]], [[0, 131, 344], [1, 120, 371], [2, 106, 409]]]]"
00185.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 227, 370], [1, 256, 398], [2, 285, 419]], [[0, 127, 339], [1, 117, 370], [2, 101, 406]]]]"
00186.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 192, 334], [1, 215, 359], [2, 236, 394]], [[0, 128, 341], [1, 108, 367], [2, 100, 394]]]]"
00187.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 128, 320], [1, 104, 351], [2, 101, 383]], [[0, 171, 282], [1, 185, 313], [2, 192, 350]]]]"
00188.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 165, 230], [1, 166, 266], [2, 166, 300]], [[0, 149, 283], [1, 123, 300], [2, 113, 335]]]]"
00189.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 169, 178], [1, 165, 203], [2, 168, 239]], [[0, 154, 235], [1, 143, 256], [2, 131, 293]]]]"
00190.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 185, 123], [1, 170, 151], [2, 185, 189]], [[0, 155, 174], [1, 149, 204], [2, 131, 244]]]]"
00191.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 193, 67], [1, 182, 96], [2, 182, 136]], [[0, 167, 125], [1, 160, 155], [2, 138, 183]]]]"
00192.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 210, 16], [1, 198, 47], [2, 195, 82]], [[0, 182, 71], [1, 180, 99], [2, 159, 134]]]]"
00193.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 223, 13], [1, 215, 37], [2, 198, 78]], [[0, 188, 39], [1, 177, 63], [2, 173, 105]]]]"
00194.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 242, 9], [1, 231, 35], [2, 206, 62]], [[0, 192, 17], [1, 181, 43], [2, 178, 78]]]]"
00195.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 261, 13], [1, 243, 30], [2, 211, 55]], [[0, 211, 13], [1, 191, 32], [2, 175, 72]]]]"
00196.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 298, 8], [1, 269, 20], [2, 236, 43]], [[0, 231, 15], [1, 205, 31], [2, 177, 60]]]]"
00197.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 340, 9], [1, 307, 14], [2, 269, 32]], [[0, 261, 15], [1, 231, 24], [2, 196, 38]]]]"
00198.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 385, 11], [1, 350, 12], [2, 317, 28]], [[0, 298, 8], [1, 272, 18], [2, 227, 24]]]]"
00199.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 429, 10], [1, 392, 10], [2, 356, 26]], [[0, 346, 6], [1, 322, 19], [2, 280, 10]]]]"
00200.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 468, 11], [1, 439, 17], [2, 405, 20]], [[0, 397, 8], [1, 366, 14], [2, 326, 12]]]]"
00201.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 516, 10], [1, 492, 23], [2, 449, 24]], [[0, 454, 8], [1, 427, 10], [2, 388, 12]]]]"
00202.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 559, 11], [1, 539, 23], [2, 503, 22]], [[0, 498, 12], [1, 467, 8], [2, 431, 13]]]]"
00203.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 610, 16], [1, 590, 25], [2, 551, 31]], [[0, 550, 17], [1, 527, 10], [2, 487, 10]]]]"
00204.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 652, 13], [1, 627, 23], [2, 592, 33]], [[0, 592, 20], [1, 563, 11], [2, 532, 13]]]]"
00205.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 688, 23], [1, 662, 25], [2, 635, 40]], [[0, 640, 20], [1, 615, 17], [2, 582, 9]]]]"
00206.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 700, 18], [1, 680, 26], [2, 651, 39]], [[0, 663, 20], [1, 640, 20], [2, 606, 11]]]]"
00207.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 700, 20], [1, 682, 32], [2, 653, 47]], [[0, 667, 13], [1, 645, 17], [2, 606, 13]]]]"
00208.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 700, 24], [1, 685, 40], [2, 660, 57]], [[0, 671, 17], [1, 646, 22], [2, 615, 13]]]]"
00209.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 700, 20], [1, 685, 48], [2, 660, 67]], [[0, 676, 19], [1, 653, 28], [2, 619, 19]]]]"
00210.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 701, 23], [1, 690, 51], [2, 671, 71]], [[0, 685, 21], [1, 665, 36], [2, 637, 29]]]]"
00211.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 704, 25], [1, 692, 49], [2, 680, 76]], [[0, 689, 22], [1, 670, 36], [2, 638, 45]]]]"
00212.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 704, 28], [1, 693, 52], [2, 685, 78]], [[0, 692, 22], [1, 676, 39], [2, 650, 52]]]]"
00213.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 698, 24], [1, 701, 51], [2, 694, 80]], [[0, 685, 20], [1, 675, 46], [2, 661, 70]]]]"
00219.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 596, 41], [1, 623, 32], [2, 656, 39]], [[0, 638, 13], [1, 663, 19], [2, 692, 31]]]]"
00220.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 569, 59], [1, 589, 47], [2, 623, 37]], [[0, 631, 17], [1, 655, 16], [2, 686, 26]]]]"
00221.jpg,"[3, 752, 480]","{'size': [0, 0], 'counts': b''}","[[[[0, 558, 87], [1, 569, 66], [2, 587, 34]], [[0, 615, 28], [1, 644, 16], [2, 673, 24]]]]"
